Seed,Initial_Density,Final_Step_Count,Final_Density,Reason
7,44,728,0.0297, stagnated 
8,44,656,0.0262, stagnated 
9,44,938,0.0305, stagnated 
10,44,1520,0.0305, stagnated 
1,45,577,0.0261, stagnated 
2,45,1003,0.0325, stagnated 
3,45,413,0.0332, stagnated 
4,45,1913,0.0311, stagnated 
5,45,1279,0.0338, stagnated 
6,45,1594,0.0337, stagnated 
7,45,799,0.0287, stagnated 
8,45,1252,0.0323, stagnated 
9,45,1957,0.0355, stagnated 
10,45,911,0.0236, stagnated 
1,46,1747,0.0237, stagnated 
2,46,2936,0.0303, stagnated 
3,46,1177,0.0309, stagnated 
4,46,1285,0.0298, stagnated 
5,46,960,0.0253, stagnated 
6,46,608,0.0331, stagnated 
7,46,681,0.0329, stagnated 
8,46,703,0.0298, stagnated 
9,46,1769,0.0304, stagnated 
10,46,965,0.0367, stagnated 
1,47,1476,0.0231, stagnated 
2,47,1512,0.0239, stagnated 
3,47,1911,0.0291, stagnated 
4,47,980,0.0289, stagnated 
5,47,882,0.0267, stagnated 
6,47,864,0.0341, stagnated 
7,47,575,0.0316, stagnated 
8,47,1140,0.0303, stagnated 
9,47,1088,0.0325, stagnated 
10,47,699,0.0344, stagnated 
1,48,1035,0.0322, stagnated 
2,48,1006,0.0271, stagnated 
3,48,1693,0.0309, stagnated 
4,48,1169,0.0288, stagnated 
5,48,2318,0.0333, stagnated 
6,48,571,0.0272, stagnated 
7,48,725,0.0275, stagnated 
8,48,1150,0.0305, stagnated 
9,48,1174,0.0331, stagnated 
10,48,3303,0.0253, stagnated 
1,49,693,0.0272, stagnated 
2,49,569,0.0313, stagnated 
3,49,861,0.0352, stagnated 
4,49,1974,0.0303, stagnated 
5,49,678,0.0274, stagnated 
6,49,1124,0.0289, stagnated 
7,49,785,0.0302, stagnated 
8,49,899,0.0288, stagnated 
9,49,721,0.0346, stagnated 
10,49,618,0.0333, stagnated 
1,50,446,0.0285, stagnated 
2,50,865,0.0364, stagnated 
3,50,2046,0.031, stagnated 
4,50,810,0.027, stagnated 
5,50,928,0.0327, stagnated 
6,50,2237,0.0328, stagnated 
7,50,1770,0.0324, stagnated 
8,50,2697,0.0325, stagnated 
9,50,733,0.0354, stagnated 
10,50,1031,0.0334, stagnated 
1,51,1571,0.0302, stagnated 
2,51,795,0.039, stagnated 
3,51,1206,0.0272, stagnated 
4,51,1215,0.0333, stagnated 
5,51,970,0.0304, stagnated 
6,51,350,0.0308, stagnated 
7,51,1076,0.0314, stagnated 
8,51,2192,0.0222, stagnated 
9,51,2388,0.0343, stagnated 
10,51,1274,0.029, stagnated 
1,52,1102,0.0395, stagnated 
2,52,1015,0.0294, stagnated 
3,52,493,0.0251, stagnated 
4,52,2636,0.0335, stagnated 
5,52,753,0.0281, stagnated 
6,52,1806,0.0297, stagnated 
7,52,501,0.0246, stagnated 
8,52,1172,0.0288, stagnated 
9,52,1114,0.0265, stagnated 
10,52,867,0.0275, stagnated 
1,53,1312,0.027, stagnated 
2,53,1306,0.033, stagnated 
3,53,1157,0.0299, stagnated 
4,53,2481,0.0303, stagnated 
5,53,968,0.0308, stagnated 
6,53,745,0.036, stagnated 
7,53,1330,0.0264, stagnated 
8,53,562,0.0306, stagnated 
9,53,1268,0.0272, stagnated 
10,53,1089,0.0312, stagnated 
1,54,1354,0.0273, stagnated 
2,54,1973,0.0298, stagnated 
3,54,3886,0.0279, stagnated 
4,54,688,0.0347, stagnated 
5,54,1186,0.0274, stagnated 
6,54,512,0.0285, stagnated 
7,54,1275,0.0377, stagnated 
8,54,496,0.033, stagnated 
9,54,1471,0.0271, stagnated 
10,54,1248,0.0299, stagnated 
1,55,623,0.0293, stagnated 
2,55,1463,0.0312, stagnated 
3,55,1380,0.0321, stagnated 
4,55,542,0.0327, stagnated 
5,55,892,0.0303, stagnated 
6,55,631,0.0297, stagnated 
7,55,498,0.0387, stagnated 
8,55,2966,0.0315, stagnated 
9,55,660,0.0332, stagnated 
10,55,1597,0.029, stagnated 
1,56,493,0.0332, stagnated 
2,56,1753,0.0288, stagnated 
3,56,670,0.0338, stagnated 
4,56,824,0.032, stagnated 
5,56,1640,0.0299, stagnated 
6,56,1627,0.0272, stagnated 
7,56,722,0.0281, stagnated 
8,56,1191,0.026, stagnated 
9,56,1040,0.0301, stagnated 
10,56,1334,0.0289, stagnated 
1,57,1090,0.0372, stagnated 
2,57,786,0.029, stagnated 
3,57,1280,0.0331, stagnated 
4,57,709,0.0282, stagnated 
5,57,416,0.0332, stagnated 
6,57,1976,0.0346, stagnated 
7,57,896,0.0278, stagnated 
8,57,473,0.0315, stagnated 
9,57,1225,0.0279, stagnated 
10,57,2275,0.0305, stagnated 
1,58,779,0.0222, stagnated 
2,58,2645,0.0268, stagnated 
3,58,433,0.0303, stagnated 
4,58,473,0.0292, stagnated 
5,58,605,0.0318, stagnated 
6,58,2136,0.0242, stagnated 
7,58,971,0.0255, stagnated 
8,58,1560,0.035, stagnated 
9,58,1467,0.0278, stagnated 
10,58,505,0.0287, stagnated 
1,59,770,0.042, stagnated 
2,59,1406,0.0326, stagnated 
3,59,1400,0.0292, stagnated 
4,59,1656,0.0274, stagnated 
5,59,4311,0.0292, stagnated 
6,59,399,0.0338, stagnated 
7,59,1220,0.0424, stagnated 
8,59,1386,0.0252, stagnated 
9,59,1215,0.033, stagnated 
10,59,555,0.0248, stagnated 
1,60,2106,0.0285, stagnated 
2,60,1129,0.0426, stagnated 
3,60,1165,0.0291, stagnated 
4,60,1290,0.0331, stagnated 
5,60,928,0.0376, stagnated 
6,60,1070,0.029, stagnated 
7,60,1592,0.0293, stagnated 
8,60,2635,0.0254, stagnated 
9,60,1468,0.0392, stagnated 
10,60,1038,0.0277, stagnated 
1,61,1808,0.0383, stagnated 
2,61,1775,0.0271, stagnated 
3,61,1274,0.0334, stagnated 
4,61,2017,0.027, stagnated 
5,61,795,0.029, stagnated 
6,61,1293,0.0293, stagnated 
7,61,941,0.0309, stagnated 
8,61,1284,0.0256, stagnated 
9,61,1261,0.0383, stagnated 
10,61,1204,0.0341, stagnated 
1,62,817,0.0279, stagnated 
2,62,1258,0.0308, stagnated 
3,62,2086,0.031, stagnated 
4,62,717,0.0345, stagnated 
5,62,859,0.0253, stagnated 
6,62,1448,0.0236, stagnated 
7,62,1200,0.036, stagnated 
8,62,1559,0.0381, stagnated 
9,62,1728,0.034, stagnated 
10,62,560,0.0317, stagnated 
1,63,791,0.0312, stagnated 
2,63,1774,0.0321, stagnated 
3,63,1562,0.0255, stagnated 
4,63,807,0.031, stagnated 
5,63,583,0.0347, stagnated 
6,63,420,0.031, stagnated 
7,63,767,0.0249, stagnated 
8,63,1301,0.0355, stagnated 
9,63,1540,0.0367, stagnated 
10,63,578,0.0333, stagnated 
1,64,761,0.0305, stagnated 
2,64,787,0.0331, stagnated 
3,64,1702,0.0361, stagnated 
4,64,970,0.0297, stagnated 
5,64,2562,0.0328, stagnated 
6,64,924,0.0329, stagnated 
7,64,606,0.028, stagnated 
8,64,1376,0.0278, stagnated 
9,64,1923,0.0277, stagnated 
10,64,1603,0.0343, stagnated 
1,65,441,0.0297, stagnated 
2,65,1172,0.0308, stagnated 
3,65,564,0.0326, stagnated 
4,65,2593,0.0273, stagnated 
5,65,714,0.0263, stagnated 
6,65,919,0.0283, stagnated 
7,65,663,0.0287, stagnated 
8,65,819,0.0362, stagnated 
9,65,339,0.0345, stagnated 
10,65,655,0.0298, stagnated 
1,66,552,0.0261, stagnated 
2,66,1105,0.0304, stagnated 
3,66,1265,0.0294, stagnated 
4,66,1387,0.0236, stagnated 
5,66,2080,0.0289, stagnated 
